#,app_id,app_name,review_id,language_id,language_name,time_id,timestamp_created,timestamp_updated,recommended,votes_helpful,votes_funny,vote_score,comment_count,acquisition_id,steam_purchase,steam_gifted,written_during_beta,author_id,author_num_games_owned,author_num_reviews,author_playtime,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
354,292030,The Witcher 3: Wild Hunt,85113848,1920,spanish,6746,1611272034,1611272034,True,1,0,0.476190478,0,5001,True,False,False,765612,3,1,1090,1080,982,1611386679
357,292030,The Witcher 3: Wild Hunt,85112710,2887,english,4961,1611269853,1611269853,True,0,0,0.0,0,5001,True,False,False,765612,39,3,4585,1,4585,1611269809
359,292030,The Witcher 3: Wild Hunt,85112170,2887,english,4437,1611268902,1611268902,True,0,0,0.0,0,5001,True,False,False,765612,251,2,2945,2945,2036,1611376857
364,292030,The Witcher 3: Wild Hunt,85111249,2887,english,3224,1611267360,1611267360,True,0,0,0.0,0,5001,True,False,False,765612,66,18,4890,0,4890,1595375080
365,292030,The Witcher 3: Wild Hunt,85111091,2887,english,2266,1611267095,1611267095,True,0,0,0.0,0,5001,True,False,False,765612,3,1,7366,3113,7134,1611344918
366,292030,The Witcher 3: Wild Hunt,85110723,8453,spanish,1671,1611266540,1611266540,True,0,0,0.0,0,5001,True,False,False,765612,20,7,6940,123,6940,1610222652
367,292030,The Witcher 3: Wild Hunt,85110378,2887,english,2469,1611266016,1611266016,True,0,0,0.474452555,0,5001,True,False,False,765612,23,6,558,558,186,1611288843
369,292030,The Witcher 3: Wild Hunt,85110198,2887,english,2392,1611265740,1611265740,True,0,0,0.0,0,5001,True,False,False,765612,87,5,12995,2490,12723,1611358088
370,292030,The Witcher 3: Wild Hunt,85110155,2887,english,6190,1611265669,1611265669,True,1,0,0.521739125,0,5001,True,False,False,765612,107,2,10016,0,10016,1604941099
376,292030,The Witcher 3: Wild Hunt,85109387,8453,spanish,8270,1611264439,1611264439,True,0,0,0.0,0,5001,True,False,False,765612,51,18,9441,69,9373,1611268662
378,292030,The Witcher 3: Wild Hunt,85108777,2887,english,1777,1611263613,1611263613,True,7,0,0.535178423,0,5001,True,False,False,765612,176,9,1662,143,1646,1611318743
385,292030,The Witcher 3: Wild Hunt,85107433,2887,english,5456,1611261786,1611261786,True,0,0,0.0,0,5001,True,False,False,765612,30,17,580,51,580,1610393030
391,292030,The Witcher 3: Wild Hunt,85106317,2887,english,6523,1611260150,1611260150,True,0,0,0.0,0,5001,True,False,False,765612,14,14,12379,0,12379,1609878656
